date,put_volume,call_volume,put_amount,call_amount,put_oi,call_oi,volume_pcr,amount_pcr,oi_pcr
2023-07-25,1542438.0,2186226.0,369327156.0,944487579.0,1107574.0,1078647.0,0.7055254122858295,0.3910344235453413,1.0268178560733956
2023-07-26,716930.0,1068961.0,201547797.0,408689346.0,1111438.0,988328.0,0.670679285773756,0.4931564744044001,1.1245639099570184
2023-07-27,802867.0,934781.0,277094763.0,465244896.0,840234.0,863426.0,0.8588824548209688,0.5955890443556848,0.9731395626260965
2023-07-28,1613141.0,1825852.0,498181039.0,1033392764.0,1008052.0,846923.0,0.8835004151486539,0.4820829566017747,1.1902522425297224
2023-07-31,1323205.0,1714286.0,466249801.0,984995098.0,1106222.0,976668.0,0.7718694546884243,0.47335240748578833,1.1326489656669412
2023-08-01,864884.0,1014678.0,332630974.0,488510188.0,1117677.0,1052408.0,0.8523728709994698,0.680908980346588,1.0620187227767177
2023-08-02,1162559.0,1308515.0,456492696.0,597434854.0,1049866.0,1195968.0,0.8884567620546956,0.7640878213643693,0.8778378685717344
2023-08-03,876563.0,1124661.0,345257713.0,554820831.0,1081967.0,1219234.0,0.7794019709050105,0.622286860386466,0.887415377195846
2023-08-04,1205940.0,1940074.0,463100622.0,977230555.0,1119198.0,1253041.0,0.6215948463821483,0.4738908537300085,0.8931854584167637
2023-08-07,648768.0,842094.0,260358119.0,341316039.0,1101770.0,1334229.0,0.7704223043983214,0.7628065758726328,0.8257727871302453
2023-08-08,776976.0,997986.0,329161194.0,453618753.0,1123624.0,1401628.0,0.7785439875910083,0.7256340083453295,0.8016563596046883
2023-08-09,541028.0,712758.0,209790915.0,321221613.0,1136663.0,1466794.0,0.7590626832669713,0.6531033607629634,0.7749302219670928
2023-08-10,768949.0,1083796.0,308435099.0,457452530.0,1148956.0,1523109.0,0.7094960675256229,0.6742450391519312,0.7543491634544869
2023-08-11,1402056.0,1722690.0,579278906.0,578439565.0,1049361.0,1638717.0,0.8138759730421609,1.0014510435502455,0.6403552291213187
2023-08-14,1327987.0,1604618.0,591204233.0,494453898.0,1035682.0,1737933.0,0.8276032052488506,1.1956710936880914,0.5959274609550541
2023-08-15,1061213.0,1459183.0,444109604.0,448459847.0,1057335.0,1784677.0,0.7272651888077095,0.990299593087093,0.592451743368688
2023-08-16,866005.0,1036092.0,346497912.0,328498286.0,1065780.0,1861487.0,0.8358379371716025,1.0547936679340848,0.5725422739992275
