date,raw_value,signal
2020-11-06,78011021007,1
2020-11-09,105601991402,1
2020-11-10,87451647859,1
2020-11-11,76361386296,1
2020-11-12,60533217459,1
2020-11-13,63589754455,1
2020-11-16,70522216190,1
2020-11-17,75739153456,1
2020-11-18,71952629255,1
2020-11-19,63854254055,1
2020-11-20,64434658727,1
2020-11-23,93979779544,1
2020-11-24,77840719161,1
2020-11-25,79644685697,1
2020-11-26,62088321829,1
2020-11-27,62245254304,1
2020-11-30,91491838570,1
2020-12-01,83762643745,1
2020-12-02,84759725721,1
2020-12-03,76671480053,1
2020-12-04,67870129043,1
2020-12-07,70069362721,1
2020-12-08,62135402673,1
2020-12-09,68892666869,1
2020-12-10,59285032232,1
2020-12-11,64686509083,1
2020-12-14,57810832530,1
2020-12-15,58657260909,1
2020-12-16,57944752187,1
2020-12-17,70843926883,1
2020-12-18,69563791175,1
2020-12-21,83712486621,1
2020-12-22,90357854121,1
2020-12-23,86384490281,1
2020-12-24,77350970640,1
2020-12-25,76609906404,1
2020-12-28,78772445818,1
2020-12-29,73556354350,1
2020-12-30,78141184124,1
2020-12-31,91163348668,1
2021-01-04,123371313764,1
2021-01-05,129419725602,1
2021-01-06,112625945762,1
2021-01-07,121456750785,1
2021-01-08,108823838766,1
2021-01-11,118276809012,1
2021-01-12,116010186951,1
2021-01-13,129997031325,1
2021-01-14,112629476736,1
2021-01-15,99483475124,1
2021-01-18,101188909588,1
2021-01-19,101829059472,1
2021-01-20,88937168428,1
2021-01-21,112542735477,1
2021-01-22,111549464845,1
2021-01-25,124869306148,1
2021-01-26,94749944151,1
2021-01-27,83953587233,1
2021-01-28,82710105159,1
2021-01-29,80343405123,1
2021-02-01,72378631450,1
2021-02-02,81325273096,1
2021-02-03,89004034902,1
2021-02-04,83001467508,1
2021-02-05,78850430483,1
2021-02-08,69989328587,1
2021-02-09,82011617527,1
2021-02-10,82137312780,1
2021-02-18,117597800121,1
2021-02-19,106226515399,1
2021-02-22,134063837401,1
2021-02-23,92080535544,1
2021-02-24,97936589671,1
2021-02-25,84706565637,1
2021-02-26,74608964874,1
2021-03-01,73706192255,1
2021-03-02,79193688558,1
2021-03-03,73268022516,1
2021-03-04,83098710723,1
2021-03-05,72335239669,1
2021-03-08,83427432256,1
2021-03-09,75789294918,1
2021-03-10,55347392883,1
2021-03-11,67909950028,1
2021-03-12,66132261320,1
2021-03-15,69355122382,1
2021-03-16,58947645109,1
2021-03-17,58524133426,1
2021-03-18,59883900589,1
2021-03-19,60784601406,1
2021-03-22,62353117078,1
2021-03-23,60729264132,1
2021-03-24,60059577875,1
2021-03-25,48880257662,1
2021-03-26,58745674007,1
2021-03-29,60266415982,1
2021-03-30,58190349265,1
2021-03-31,53646511674,1
2021-04-01,54737362726,1
2021-04-02,61089925675,1
2021-04-06,59679016162,1
2021-04-07,61483079547,1
2021-04-08,62346411589,1
2021-04-09,54941907280,1
2021-04-12,60335802271,1
2021-04-13,49487393055,-1
2021-04-14,52415471737,-1
2021-04-15,51199411311,-1
2021-04-16,53004521601,-1
2021-04-19,74121023492,1
2021-04-20,71179539394,1
2021-04-21,60262452331,1
2021-04-22,61689386919,1
2021-04-23,65240198863,1
2021-04-26,80835531423,1
2021-04-27,61973062934,1
2021-04-28,68802621772,1
2021-04-29,70789380183,1
2021-04-30,72466313361,1
2021-05-06,78916749343,1
2021-05-07,77852564767,1
2021-05-10,74932634932,1
2021-05-11,72812651478,1
2021-05-12,65558794228,1
2021-05-13,67852805384,1
2021-05-14,83221330905,1
2021-05-17,83831063709,1
2021-05-18,72677560625,1
2021-05-19,77865324504,1
2021-05-20,75447656895,1
2021-05-21,68962527038,1
2021-05-24,73967996039,1
2021-05-25,91620358405,1
2021-05-26,90771050115,1
2021-05-27,85370036618,1
2021-05-28,94215901170,1
2021-05-31,95044452743,1
2021-06-01,95349068959,1
2021-06-02,87943241797,1
2021-06-03,83780543663,1
2021-06-04,81514324033,1
2021-06-07,84865273772,1
2021-06-08,86110645055,1
2021-06-09,73152748417,1
2021-06-10,87981706774,1
2021-06-11,94962541759,1
2021-06-15,85258258623,1
2021-06-16,73551008366,1
2021-06-17,77280659625,1
2021-06-18,89463959533,1
2021-06-21,88562731033,1
2021-06-22,86844364164,1
2021-06-23,96553014771,1
2021-06-24,84339919184,1
2021-06-25,93901769687,1
2021-06-28,96064050819,1
2021-06-29,85909121307,1
2021-06-30,89553023985,1
2021-07-01,93423827242,1
2021-07-02,83768426713,1
2021-07-05,85140899406,1
2021-07-06,95309473637,1
2021-07-07,95309613202,1
2021-07-08,108732539887,1
2021-07-09,99922891098,1
2021-07-12,123355406071,1
2021-07-13,112487048969,1
2021-07-14,106806246278,1
2021-07-15,103305725850,1
2021-07-16,109155593272,1
2021-07-19,97223234754,1
2021-07-20,80629691287,1
2021-07-21,115481138145,1
2021-07-22,120202483588,1
2021-07-23,125919151536,1
2021-07-26,125532837423,1
2021-07-27,134711335005,1
2021-07-28,94020840186,1
2021-07-29,107418619180,1
2021-07-30,114081942867,1
2021-08-02,139758949808,1
2021-08-03,119993105528,1
2021-08-04,116547446524,1
2021-08-05,114889289664,1
2021-08-06,110048207312,1
2021-08-09,112036430752,1
